순번,단지명,회사명,시군구,소재지,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
22,강화일반산업단지,(주)가인공영,강화군,"인천광역시 강화군 강화산단로 125, 강화일반산업단지내 11B-5L(옥림리 1232-5) (강화읍) 외 1필지",031-989-8791,10,23112,"18112, 23112, 23119, 23122, 25111",안전유리 제조업 외 4 종,"유리,도어,스크린인쇄"
23,강화일반산업단지,(주)보성코퍼레이션,강화군,"인천광역시 강화군 강화읍 강화산단로 158, (월곳리 752-7번지)",031-996-6761,5,17211,"17211, 17212, 18113, 18119",골판지 제조업 외 3 종,골판지 박스
24,강화일반산업단지,(주)동양나토얀,강화군,인천광역시 강화군 강화읍 강화산단로 74 외 3필지,032-212-4595,20,25992,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,"주물냄비, 후라이팬"
25,강화일반산업단지,(주)우주,강화군,인천광역시 강화군 강화읍 강화산단로 257 외 1필지,032-330-2061,3,28512,28512,가정용 전기 난방기기 제조업,공업용히터
26,강화일반산업단지,(주)알싸한,강화군,인천광역시 강화군 강화읍 강화산단로 140,032-330-3380,3,10212,"10212, 10213, 10219",수산동물 건조 및 염장품 제조업 외 2 종,"수산물 가공(홍어, 가오리, 굴비, 반건조 생선, 꽃게)"
27,강화일반산업단지,(주)고산엔지니어링,강화군,인천광역시 강화군 강화읍 강화산단로 245,032-424-6598,18,29180,"29180, 29199, 29241",사무용 기계 및 장비 제조업 외 2 종,기계장비
28,강화일반산업단지,(주)정호이앤씨,강화군,"인천광역시 강화군 강화읍 강화산단로73번길 33, 월곳리 750-5번지 외 2필지",032-467-1480,22,25122,"13229, 25122, 25123",금속탱크 및 저장용기 제조업 외 2 종,"금속탱크, 압력용기, 마스크"
29,강화일반산업단지,에스엘기업,강화군,인천광역시 강화군 강화읍 월곳리 749-16번지 강화일반산업단지 9B-5L,032-525-0216,5,29250,29250,음ㆍ식료품 및 담배 가공기계 제조업,식품가공기계
30,강화일반산업단지,풍산특수금속(주),강화군,인천광역시 강화군 강화읍 강화산단로 274 외 2필지,032-540-7114,149,24122,"24122, 24221, 33110",냉간 압연 및 압출 제품 제조업 외 2 종,"스텐레스강대,소전용Clad,귀금속소전"
31,강화일반산업단지,(주)동행이앤엠,강화군,인천광역시 강화군 강화읍 강화산단로 173,032-561-1443,7,13229,"13229, 31920",기타 직물제품 제조업 외 1 종,마스크 및 모터사이클
32,강화일반산업단지,주식회사서울금속 강화공장,강화군,"인천광역시 강화군 강화읍 강화산단로 231, (월곳리 755-2,3,4 강화일반산업단지 2B-2,3,4L)",032-562-0234,53,25941,"25912, 25941",볼트 및 너트류 제조업 외 1 종,"스크류, 볼트"
33,강화일반산업단지,주식회사서울금속 강화공장 별관,강화군,"인천광역시 강화군 강화읍 강화산단로 230, (강화일반산업단지 1B-6L)",032-562-0234,5,25941,"25912, 25941",볼트 및 너트류 제조업 외 1 종,"스크류, 볼트"
34,강화일반산업단지,㈜재영,강화군,"인천광역시 강화군 강화읍 강화산단로73번길 22, 강화일반산업단지 9B-14L",032-565-1050,4,22211,22211,"플라스틱 선, 봉, 관 및 호스 제조업","플라스틱호스, 테이프"
35,강화일반산업단지,세화파렛텍㈜,강화군,"인천광역시 강화군 강화읍 강화산단로 107, (강화일반산업단지 9B-10,11L) 외 1필지",032-567-4961,23,22299,"22299, 25999",그 외 기타 플라스틱 제품 제조업 외 1 종,"플라스틱바스, 파렛트, 롤테이너, 철대차 외"
36,강화일반산업단지,금강글로벌,강화군,인천광역시 강화군 강화읍 강화산단로 267,032-574-8312,3,30121,"25111, 25112, 25113, 25119, 30121, 30122, 30201, 30202, 30203",승용차 및 기타 여객용 자동차 제조업 외 8 종,"특수차량, 특장차, 윙바디, 트레일러, 푸드트럭, 컨테이너, 이동부스, 기타부스, 이동식화장실, 특장차부품 외 "
37,강화일반산업단지,창신기계제작소,강화군,인천광역시 강화군 강화읍 강화산단로 67,032-575-5113,30,29175,29175,액체 여과기 제조업,싸이크로이드 감속기 및 교반기
38,강화일반산업단지,미주산업,강화군,"인천광역시 강화군 강화읍 강화산단로 104, 2동",032-575-8655,2,28302,"28302, 28303",기타 절연선 및 케이블 제조업 외 1 종,"전원플러그, 이동형 콘센트, 전선"
39,강화일반산업단지,경민금형,강화군,인천광역시 강화군 강화읍 강화산단로 279,032-621-1819,8,29294,29294,주형 및 금형 제조업,금형부품
40,강화일반산업단지,㈜주영에스앤티,강화군,인천광역시 강화군 강화읍 강화산단로 86,032-624-1644,3,25112,"13224, 13229, 22299, 25112, 25113, 25114, 25119, 26291, 28519, 32029",구조용 금속 판제품 및 공작물 제조업 외 9 종,"차양, 디자인형울타리, 금속제울타리, 차선분리대, 막구조물, 자전거보관대, 볼라드, 버스승강장, 교얄이음장치, 손소독기"
41,강화일반산업단지,㈜주원피엠에스,강화군,"인천광역시 강화군 강화읍 강화산단로73번길 30, (강화일반산업단지 9B-16,17,18L) 외 2필지",032-710-9959,7,29294,"25924, 29294",주형 및 금형 제조업 외 1 종,"주물패턴,주물소재,펌프소재 가공"
42,강화일반산업단지,(주)에이치비세계로,강화군,인천광역시 강화군 강화읍 강화산단로 99 외 3필지,032-765-0903,17,25999,"25999, 26299, 28422, 28903",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,도로표지병 외 6종
43,강화일반산업단지,(주)엘베코스,강화군,"인천광역시 강화군 강화읍 강화산단로 305, 강화일반산업단지 12B-1L",032-816-0288,12,20423,20423,화장품 제조업,화장품
44,강화일반산업단지,(주)대동기전,강화군,인천광역시 강화군 강화읍 강화산단로 84,032-816-7800,6,28901,"28111, 28901",전기경보 및 신호장치 제조업 외 1 종,"CO2소화기, HCFC-123소화기, 캐비넷형자동소화장치, 태양광 발전장치 외"
45,강화일반산업단지,정석,강화군,인천광역시 강화군 강화읍 월곳리 750-3번지 강화일반산업단지(8B-1L) 외 1필지,032-817-2266,3,18129,18129,기타 인쇄관련 산업,인쇄물재단
46,강화일반산업단지,모건알루미늄공업(주),강화군,"인천광역시 강화군 강화읍 강화산단로 223, (강화일반산업단지 1B-1,2,3,4L)",032-817-6661,48,24222,"24222, 25913, 25914","알루미늄 압연, 압출 및 연신제품 제조업 외 2 종","알루미늄 판,코일"
47,강화일반산업단지,선광공업(주),강화군,"인천광역시 강화군 강화읍 강화산단로250번길 2, 강화일반산업단지 1블럭 - 10,11,12롯트",032-817-7343,3,25932,25932,일반철물 제조업,철구조물
48,강화일반산업단지,허정산업개발(주),강화군,인천광역시 강화군 강화읍 강화산단로 195,032-818-9523,3,25994,"25111, 25994",금속 표시판 제조업 외 1 종,금속표지판
49,강화일반산업단지,(주)협성목재,강화군,인천광역시 강화군 강화읍 강화산단로 243,032-864-8186,3,16231,16231,목재 깔판류 및 기타 적재판 제조업,"목재파렛트,박스"
50,강화일반산업단지,(주)온맘컴퍼니,강화군,"인천광역시 강화군 강화읍 강화산단로 245, 1동",032-932-0418,2,16292,16292,장식용 목제품 제조업,"거울, 유리액자, 나무액자"
51,강화일반산업단지,(주)핌코리아,강화군,"인천광역시 강화군 강화읍 강화산단로 249, 강화일반산업단지 3B-8L",032-932-6119,10,29193,"28901, 29193",분사기 및 소화기 제조업 외 1 종,"소화기,소화장치,호스릴,소화약제실린더"
52,강화일반산업단지,㈜미주,강화군,인천광역시 강화군 강화읍 강화산단로 102 외 3필지,032-933-0975,12,28303,28303,절연 코드세트 및 기타 도체 제조업,"케이블릴,워터릴,에어릴"
53,강화일반산업단지,㈜청아뷰티앤헬스,강화군,인천광역시 강화군 강화읍 월곳리 750-4번지,032-933-1700,23,17902,17902,위생용 종이제품 제조업,생리대
54,강화일반산업단지,㈜삼원가스앤플랜트,강화군,인천광역시 강화군 강화읍 강화산단로 85 (강화읍),032-933-2378,6,25999,"25914, 25999, 29133, 29174",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,"이형질 이음관, 용접형 볼밸브"
55,강화일반산업단지,(주)반석철강,강화군,인천광역시 강화군 강화읍 강화산단로 205,032-933-3048,2,25113,25113,육상 금속 골조 구조재 제조업,"철근, 파이프외"
56,강화일반산업단지,세영지티엘(GTL),강화군,인천광역시 강화군 강화읍 강화산단로 195,032-933-4009,7,25924,25924,절삭가공 및 유사처리업,자동차부품
57,강화일반산업단지,성화내진전착볼트㈜,강화군,"인천광역시 강화군 강화읍 강화산단로 293, (강화일반산업단지 7B-5,6,12,13L)",032-933-4500,15,25999,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,전산볼트(전착도장)
58,강화일반산업단지,대광기업,강화군,인천광역시 강화군 강화읍 강화산단로 92,032-933-4818,2,26299,26299,그 외 기타 전자부품 제조업,전기배선포장지 외
59,강화일반산업단지,(주)마주봄패키지,강화군,인천광역시 강화군 강화읍 강화산단로 172,032-933-7556,9,22231,"18119, 22231","플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종","포장지, 마스크팩, 콜라겐파우치, 프로폴리스사탕봉투, 황사마스크 및 식품 포장지"
60,강화일반산업단지,대한엔지니어링,강화군,"인천광역시 강화군 강화읍 강화산단로 185, 강화일반산업단지 3B-5L 외 1필지",032-934-0955,18,29162,29162,승강기 제조업,"곤돌라, 교량용점검차"
61,강화일반산업단지,(주)블루그린조경,강화군,인천광역시 강화군 강화읍 강화산단로 265,032-934-1787,8,25112,"16102, 25112",구조용 금속 판제품 및 공작물 제조업 외 1 종,"목재디자인형울타리, 금속재파이프, 가공목재, 조경목 데크재, 목재덱"
62,강화일반산업단지,(주)담길,강화군,인천광역시 강화군 강화읍 강화산단로 189,032-934-3035,3,25112,"25112, 25113",구조용 금속 판제품 및 공작물 제조업 외 1 종,교량난간 반사형방음벽 및 방은판 외
63,강화일반산업단지,큐티엘,강화군,인천광역시 강화군 강화읍 옥림리 1232-2번지 외 1필지,032-934-7461,14,14120,14120,속옷 및 잠옷 제조업,"내의,속옷"
64,강화일반산업단지,(주)베베코,강화군,"인천광역시 강화군 강화읍 강화산단로 281, 강화일반산업단지 7B-9L",032-934-9774,11,20423,20423,화장품 제조업,화장품
65,강화일반산업단지,성민정보통신,강화군,"인천광역시 강화군 강화읍 강화산단로 137, 강화일반산업단지 11B-3L",070-4633-2250,5,26410,26410,유선 통신장비 제조업,"통신장비 CSU,DSU"
66,강화일반산업단지,진호산업,강화군,인천광역시 강화군 강화읍 강화산단로 74 외 3필지,070-4762-9683,6,25992,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,주방용품
67,강화일반산업단지,㈜케미팜스,강화군,인천광역시 강화군 강화읍 강화산단로 309,070-7590-3307,6,20423,20423,화장품 제조업,화장품원료
68,강화일반산업단지,(주)무감전,강화군,인천광역시 강화군 강화읍 강화산단로 267,070-7655-0112,5,28123,"28123, 28422",배전반 및 전기 자동제어반 제조업 외 1 종,무감전배전반
69,강화하점일반산업단지,진성산업,강화군,인천광역시 강화군 하점면 강화대로967번길 27,02-2275-1235,14,13104,"13104, 33991",연사 및 가공사 제조업 외 1 종,"연사,단추"
70,강화하점일반산업단지,주식회사 라비스코,강화군,인천광역시 강화군 하점면 강화대로967번길 38,031-715-8108,20,20423,20423,화장품 제조업,화장품
71,강화하점일반산업단지,선호기업,강화군,인천광역시 강화군 하점면 강화대로967번길 21-1,032-579-3615,3,31202,"25113, 25912, 25933, 25999, 28121, 31202",철도차량 부품 및 관련 장치물 제조업 외 5 종,철도차량부품
72,강화하점일반산업단지,(주)삼현제약,강화군,인천광역시 강화군 하점면 강화대로967번길 26,032-932-4532,16,20321,"20321, 20422, 20423",화학 살균.살충제 및 농업용 약제 제조업 외 2 종,"의약외품 소독용에탄올, 의약외품 손소독제"
73,강화하점일반산업단지,주식회사 태스콘,강화군,인천광역시 강화군 하점면 강화대로967번길 30,032-932-8271,21,27214,"22249, 27214, 27215, 28123",속도계 및 적산계기 제조업 외 3 종,전력량계 및 설비미터
74,강화하점일반산업단지,(주)백광섬유,강화군,인천광역시 강화군 하점면 강화대로967번길 20 (총 4 필지),032-933-1681,36,13401,13401,솜 및 실 염색가공업,염색 사
75,강화하점일반산업단지,(유)한일타이어,강화군,인천광역시 강화군 하점면 강화대로967번길 21-1 (한일타이어),032-933-4186,8,22112,22112,타이어 재생업,재생타이어
76,강화하점일반산업단지,(주)프로그,강화군,인천광역시 강화군 하점면 강화대로967번길 14,032-933-8991,2,13403,13403,날염 가공업,"날염가공(스카프, 넥타이, 양산)"
77,,주식회사 엠테크놀러지,강화군,"인천광역시 강화군 길상면 까치골길 178, 1동",,0,27199,27199,그 외 기타 의료용 기기 제조업,"의료용 석션기, 의료용 펌프"
78,,에스투컴퍼니,강화군,"인천광역시 강화군 선원면 와말길 138, 나동",,2,29180,29180,사무용 기계 및 장비 제조업,사무용기기
79,,강화사자발쑥집,강화군,인천광역시 강화군 화도면 해안남로2903번길 8-14,,2,10797,10797,건강기능식품 제조업,쑥 엑기스
80,,정들콩,강화군,인천광역시 강화군 송해면 당산리 579-9번지 외 1필지,,2,10743,10743,장류 제조업,"된장,고추장,간장,청국장"
81,,지오메이트,강화군,인천광역시 강화군 강화읍 화성길 46,,1,20322,20322,생물 살균.살충제 및 식물보호제 제조업,살균수
82,,대경유니트(주),강화군,인천광역시 강화군 불은면 불은남로447번길 11,,3,29132,29132,기체 펌프 및 압축기 제조업,바이브레타
83,,동인금속(주),강화군,인천광역시 강화군 화도면 마니산로 769 외 2필지,,11,24222,24222,"알루미늄 압연, 압출 및 연신제품 제조업","알루미늄 압출제품, 부품소재"
84,,"대일정밀,창성정밀",강화군,인천광역시 강화군 선원면 시리미로 71-27,,22,29294,29294,주형 및 금형 제조업,금형제조
85,,에스테크,강화군,인천광역시 강화군 선원면 대문고개로 144,,1,29175,29175,액체 여과기 제조업,"수처리장비, 정화장치, 액체여과기"
86,,초록곰,강화군,인천광역시 강화군 화도면 동막리 242-1,,2,11112,11112,맥아 및 맥주 제조업,맥주
87,,주식회사 새진,강화군,인천광역시 강화군 하점면 강화대로 1008,,4,13229,13229,기타 직물제품 제조업,보건용 마스크
88,,농업회사법인 강화라이스 주식회사,강화군,인천광역시 강화군 양도면 고려왕릉로 100-8,,12,10611,10611,곡물 도정업,"백미, 현미"
89,,주식회사 유성인텍,강화군,인천광역시 강화군 불은면 덕진로 260,,8,22191,22191,고무패킹류 제조업,"고무, 플라스틱 제품"
90,,농업회사법인 에버그린팜 주식회사,강화군,인천광역시 강화군 선원면 냉정길48번길 56-4,,5,10799,10799,그 외 기타 식료품 제조업,메추리알 가공
91,,정원기계,강화군,인천광역시 강화군 불은면 중앙로567번길 80,,1,29175,29175,액체 여과기 제조업,"수처리압력용기, 수영장물여과기, 철물 제작"
92,,영혜,강화군,인천광역시 강화군 불은면 불은남로 22,,36,29162,29162,승강기 제조업,곤도라
93,,브솔,강화군,인천광역시 강화군 선원면 시리미로237번길 1,,1,20422,20422,"치약, 비누 및 기타 세제 제조업",미용비누
94,,주식회사 빚고담고,강화군,인천광역시 강화군 불은면 불은남로 125-1,,2,10302,"10302, 10743",과실 및 그 외 채소 절임식품 제조업 외 1 종,"장아찌, 기타 절임식품 및 혼합장"
95,,(주)두코,강화군,인천광역시 강화군 선원면 시리미로 71-22,,22,22232,22232,포장용 플라스틱 성형용기 제조업,"플라스틱 용기, 뚜껑"
96,,동신직물,강화군,인천광역시 강화군 선원면 중앙로 385-1 (총 3 필지) 외 2필지,,4,13211,"13104, 13211",면직물 직조업 외 1 종,"면직물,실가공"
97,,선원직물,강화군,인천광역시 강화군 선원면 철종외가길17번길 3-8,,4,13211,13211,면직물 직조업,면직물
98,,(주)코에어,강화군,인천광역시 강화군 불은면 불은남로 572 외 1필지,,35,29174,29174,기체 여과기 제조업,에어필터
99,,에스아이메디칼,강화군,인천광역시 강화군 불은면 덕진로 260-7 외 4필지,,0,27199,27199,그 외 기타 의료용 기기 제조업,의료용인플란트
100,,한애가(주),강화군,"인천광역시 강화군 화도면 마니산로 785-9, 한애가 외 3필지",02-3453-0171,8,10741,"10741, 10743, 11209","식초, 발효 및 화학 조미료 제조업 외 2 종","식초, 식초음료, 장류"
101,,(주)나라소프트,강화군,인천광역시 강화군 양도면 강화남로 368,02-3487-7988,5,33402,"26329, 33402",영상게임기 제조업 외 1 종,"멀티미디어 학습장치, 비전 카메라 입력장치(센서)"
102,,훼미리가구 주식회사,강화군,인천광역시 강화군 불은면 신현리 32-9번지 외 2필지,02-3667-7935,51,32029,"32021, 32029",기타 목재가구 제조업 외 1 종,가구
103,,서울텔엔지니어링(주),강화군,"인천광역시 강화군 불은면 불은북로 241, 2층",02-501-6690,23,26429,26429,기타 무선 통신장비 제조업,무선통신장비
104,,주식회사 케이에스시스템,강화군,인천광역시 강화군 선원면 고식이길 19,02-6295-1315,1,25111,25111,"금속 문, 창, 셔터 및 관련제품 제조업","창호,금속문,문,셔터"
105,,(주)에이타워,강화군,인천광역시 강화군 양도면 중앙로 971,02-6959-3035,53,10309,10309,기타 과실ㆍ채소 가공 및 저장 처리업,식품
106,,(주)신성노바파크,강화군,인천광역시 강화군 불은면 고려왕릉로 402-5,02-704-0123,29,25113,"25113, 25114, 29162",육상 금속 골조 구조재 제조업 외 2 종,"승강기, 주차설비, 철골구조물 조립"
107,,(주)비트코비체 실린더즈 코리아,강화군,인천광역시 강화군 불은면 고려왕릉로 364,02-718-8200,5,33999,"31999, 33999",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,"압력용기 렉(수소 저장용 제품), MEGC(수소 운송용 제품)"
108,,원대화학(주),강화군,인천광역시 강화군 불은면 불은남로 572,031-356-4164,22,29174,29174,기체 여과기 제조업,"자동차에어필터, 컨빅터"
109,,Moa Cups company,강화군,인천광역시 강화군 송해면 전망대로423번길 84-19,031-488-9692,3,17223,17223,식품 위생용 종이 상자 및 용기 제조업,"종이컵, 종이용기 인쇄"
110,,(주)새한BIF,강화군,인천광역시 강화군 불은면 해안동로341번길 98,031-959-2234,0,10742,"10122, 10129, 10742",천연 및 혼합조제 조미료 제조업 외 2 종,"소스류, 식육가공품"
111,,(주)이화,강화군,인천광역시 강화군 선원면 연동로 256-38,031-982-1568,41,29176,"29173, 29174, 29175, 29176","증류기, 열교환기 및 가스발생기 제조업 외 3 종",열교환기
112,,(주)알이씨,강화군,인천광역시 강화군 불은면 강화동로 625,031-983-9972,14,23211,"23211, 23212",정형 내화 요업제품 제조업 외 1 종,분쇄 캐스타블
113,,(주)로얄코리아,강화군,인천광역시 강화군 양사면 덕하리 1158-11,031-988-1131,30,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,창호샤시 보강재
114,,제이에스밸브,강화군,인천광역시 강화군 선원면 시리미로 43,031-989-6726,4,29133,29133,"탭, 밸브 및 유사장치 제조업",액추레이터(밸브 구동기)
115,,대림기공,강화군,인천광역시 강화군 불은면 고려왕릉로 350-1 (총 2 필지) 외 1필지,031-997-3511,30,29173,29173,산업용 송풍기 및 배기장치 제조업,"송풍기, 배기장치"
116,,승연기업(주),강화군,인천광역시 강화군 강화읍 해안북로 103 ((주)승인기업),031-998-2089,20,25111,"25111, 25112","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","금속창호, 조립식계단"
117,,(주)천경비스타,강화군,인천광역시 강화군 양도면 강화남로419번길 30 ((주)천경그린강화공장) (총 3 필지) 외 2필지,032-397-4458,50,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,프라스틱 창호
118,,(주)셀파,강화군,인천광역시 강화군 화도면 마니산로 457 외 1필지,032-434-8191,20,14191,"14191, 14192",셔츠 및 블라우스 제조업 외 1 종,등산복
119,,농업회사법인 (주)엘에이치농산,강화군,인천광역시 강화군 길상면 까치골길 110,032-471-6800,3,10302,10302,과실 및 그 외 채소 절임식품 제조업,과실 및 그 외 채소절임식품
120,,주식회사 오피스케이,강화군,"인천광역시 강화군 선원면 와말길 138, 다동",032-551-0834,3,29180,29180,사무용 기계 및 장비 제조업,"자동센서, PCB 개발, 진환경문서 세단기"
121,,(주)월드미디어,강화군,인천광역시 강화군 길상면 해안남로 763,032-563-0001,0,26421,"26421, 26529, 28423",방송장비 제조업 외 2 종,"방송장비, CCTV, 전광판"
122,,(주)거성피엔씨,강화군,인천광역시 강화군 불은면 불은북로 352-29 외 1필지,032-563-0322,8,29162,"29162, 29163",승강기 제조업 외 1 종,승강기 등 주차기계
123,,한영공업,강화군,"인천광역시 강화군 길상면 마니산로132번길 23, (한영공업)",032-563-0781,11,29120,"29120, 30331, 30400",유압기기 제조업 외 2 종,"기아케이스, 클러치하우징"
124,,(주)이즈탑,강화군,인천광역시 강화군 불은면 덕진로 96,032-564-1851,4,18119,"18113, 18119",기타 인쇄업 외 1 종,인쇄물
125,,(주)참푸드,강화군,인천광역시 강화군 선원면 고식이길 208,032-565-5750,35,10129,"10122, 10129, 10301, 10302, 10309, 10742, 10751, 10759",육류 기타 가공 및 저장처리업 (가금류 제외) 외 7 종,"양념돼지갈비, 양념소불고기 외 양념육류, 김치 등"
126,,(주)케이지프레시,강화군,인천광역시 강화군 강화읍 강화대로154번길 54 외 1필지,032-567-2983,130,10129,"10121, 10122, 10129",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"양념육, 포장육"
127,,(주)거화,강화군,인천광역시 강화군 선원면 연동로 256-19,032-567-7456,5,29176,29176,"증류기, 열교환기 및 가스발생기 제조업",열교환기
128,,(주)거화,강화군,인천광역시 강화군 선원면 연동로 256-17,032-567-7456,7,29176,29176,"증류기, 열교환기 및 가스발생기 제조업",열교환기
129,,제이에스 핀테크(JS FINTECH),강화군,인천광역시 강화군 선원면 연동로 256-21,032-567-7456,8,29176,29176,"증류기, 열교환기 및 가스발생기 제조업",열교환기
130,,(주)제일위생,강화군,인천광역시 강화군 불은면 덕진로 96 외 1필지,032-567-9591,41,17902,"17902, 18113, 18119, 21300, 22231",위생용 종이제품 제조업 외 4 종,"성인용 기저기 패드, 미용티슈, 키친타올, 플라스틱 포대, 봉투, 마스크류"
131,,(주)지에스이엘리베이터,강화군,인천광역시 강화군 길상면 장흥로 76-48,032-568-8024,4,29162,29162,승강기 제조업,엘리베이터점검용 사다리
132,,(주)온누리씨앤엠,강화군,인천광역시 강화군 송해면 전망대로423번길 94 외 13필지,032-568-9700,50,17223,17223,식품 위생용 종이 상자 및 용기 제조업,"종이용기, 종이용기코팅 제조"
133,,주식회사 상도유통,강화군,인천광역시 강화군 불은면 덕진로 122-28,032-569-3211,11,10309,10309,기타 과실ㆍ채소 가공 및 저장 처리업,양파 슬라이스 외
134,,하이스트,강화군,인천광역시 강화군 선원면 시리미로 39,032-579-0777,12,25999,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,PC정착구 및 시즈관 유압식 잭
135,,(주) 남부 이.엔.지,강화군,인천광역시 강화군 불은면 불은북로 189,032-589-6781,3,26529,"26421, 26529",기타 음향기기 제조업 외 1 종,태양광 발전장치
136,,성광포장공업사,강화군,인천광역시 강화군 불은면 불은남로 570,032-812-0207,5,17211,"17211, 17212",골판지 제조업 외 1 종,골판지상자
137,,(주)선일,강화군,인천광역시 강화군 선원면 대문고개로 144,032-816-6147,45,28422,"25119, 25995, 25999, 28422, 29175, 29180, 29299, 32091",일반용 전기 조명장치 제조업 외 7 종,"신재생에너지 가로등, 간이화장실, 사무용 가구 등"
138,,엘디엘파트너스(주),강화군,인천광역시 강화군 불은면 강화동로 357,032-822-3337,3,16221,"16221, 16229",목재문 및 관련제품 제조업 외 1 종,"가구류, 건축자재"
