"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
28110-00027,운남제1호공원,근린공원,,인천광역시 중구 운남동 1551,37.49088179,126.5310506,11065,,"물놀이형 조합놀이대, 그네, 발물놀이터",화장실,,공원관리사무실,2003-08-04,인천광역시 중구청,032-760-7777,2023-05-16
28110-00029,큰말공원,근린공원,,인천광역시 중구 운남동 1680-4,37.4768762,126.5131651,10746,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00030,안양골공원,근린공원,,인천광역시 중구 운남동 1740-19,37.48359714,126.5450208,14543,,"조합놀이대, 그네, 흔들놀이기구",,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00031,구석말공원,근린공원,,인천광역시 중구 중산동 1871-6,37.48564112,126.5526025,10085,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00032,선사공원,근린공원,,인천광역시 중구 중산동 1880-4,37.4951776,126.5549014,31629,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00033,배곶공원,근린공원,,인천광역시 중구 중산동 1887-16,37.49334972,126.5652165,19304,,"조합놀이대, 그네, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00034,월촌공원,근린공원,,인천광역시 중구 중산동 1912-1,37.50057434,126.5693242,45073,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00035,방죽공원,근린공원,,인천광역시 중구 중산동 1958-7,37.49281711,126.5721494,17404,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00036,갯벌공원,근린공원,,인천광역시 중구 운남동 1711-62,37.48255921,126.5370957,23259,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00037,파크골프공원,근린공원,,인천광역시 중구 중산동 1878-2,37.48978153,126.554357,16941,파크골프장,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00038,새부리공원,근린공원,,인천광역시 중구 운남동 1681-3,37.47968895,126.5129791,14967,배드민턴장,"조합놀이대, 그네, 흔들놀이기구",,,,2011-01-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00039,반길안공원,근린공원,,인천광역시 중구 운남동 1680-3,37.47840641,126.5149274,14444,,,,,,2011-12-21,인천광역시 중구청,032-760-7777,2023-05-16
28110-00040,하늘체육공원,체육공원,,인천광역시 중구 중산동 1878-3,37.48817317,126.5560402,60632,"축구장, 풋살장, 농구장, 트랙, 배드민턴장",,"주차장, 화장실",,공원관리사무실,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00041,자전거공원,어린이공원,,인천광역시 중구 운서동 3052-6,37.49850897,126.5035312,1630,,"조합놀이대, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00042,날아라UFO공원,어린이공원,,인천광역시 중구 운서동 3034,37.49666953,126.5002014,5167,,"조합놀이대, 흔들놀이기구, 그네",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00043,잎새바람공원,어린이공원,,인천광역시 중구 운서동 3033-4,37.49699326,126.4994867,1641,,조합놀이대,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00044,우주탐험공원,어린이공원,,인천광역시 중구 운서동 3050-1,37.49402028,126.4977659,9020,,"조합놀이대, 흔들놀이기구, 그네, 오르는기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00045,과일천국공원,어린이공원,,인천광역시 중구 운서동 3081-1,37.49335425,126.5061947,1663,,조합놀이대,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00046,지도여행공원,어린이공원,,인천광역시 중구 운서동 3083-10,37.49150465,126.5045792,5129,,"조합놀이대, 그네, 회전놀이기구, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00047,무지개길공원1,어린이공원,,인천광역시 중구 운남동 1684-10,37.4814590830,126.5133909230,3717,,조합놀이대,,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00048,무지개길공원2,어린이공원,,인천광역시 중구 운남동 1690-14,37.48043144,126.5152632,3216,,"조합놀이대, 흔들놀이기구, 회전놀이기구",,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00049,착시나라공원,어린이공원,,인천광역시 중구 운서동 3110,37.48996059,126.4937786,2097,,조합놀이대,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00050,갯벌놀이공원,어린이공원,,인천광역시 중구 운남동 1750-12,37.48001373,126.5433825,2255,,"조합놀이대, 흔들놀이기구, 회전놀이기구",,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00051,철새공원,어린이공원,,인천광역시 중구 운남동 1757-7,37.48270765,126.5484128,2971,,"조합놀이대, 그네, 흔들놀이기구",,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00052,꽃대궐공원,어린이공원,,인천광역시 중구 중산동 1894-15,37.49589133,126.5638693,1980,,"조합놀이대, 흔들놀이기구",,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00053,비행기공원,어린이공원,,인천광역시 중구 운남동 1674-6,37.48083435,126.5184019,6247,,"조합놀이대, 그네, 회전놀이기구, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00054,기린공원,어린이공원,,인천광역시 중구 운남동 1657-36,37.482284,126.5254794,3400,,"조합놀이대, 그네, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00055,캐리비안해적공원,어린이공원,,인천광역시 중구 운남동 1618-1,37.47173821,126.5156592,3555,,"조합놀이대, 그네, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00056,크라켄공원,어린이공원,,인천광역시 중구 운남동 1631-9,37.47154831,126.5206536,5805,,"조합놀이대, 그네, 흔들놀이기구",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00057,인디언공원,어린이공원,,인천광역시 중구 중산동 1909-25,37.49926293,126.5673499,3323,,"조합놀이대, 그네",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00058,옹달샘공원,어린이공원,,인천광역시 중구 중산동 1903-9,37.49725951,126.5658659,6571,,"조합놀이대, 그네, 흔들놀이기구, 계류형 수경시설",,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00059,비밀의벽공원,어린이공원,,인천광역시 중구 중산동 1887-7,37.49405819,126.5700345,6077,,조합놀이대,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00060,영종하늘도시 1호,소공원,,인천광역시 중구 운서동 3038-6,37.49567456,126.4999821,1230,,,,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00061,영종하늘도시 2호,소공원,,인천광역시 중구 운남동 1660-1,37.48319647,126.5226911,1222,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00062,영종하늘도시 3호,소공원,,인천광역시 중구 운북동 1338-2,37.5055464,126.4992547,4517,,,,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00063,영종하늘도시 5호,소공원,,인천광역시 중구 운남동 1747-11,37.48280559,126.5458341,353,,,,,,2007-11-06,인천광역시 중구청,032-760-7777,2023-05-16
28110-00064,영종하늘도시 8호,소공원,,인천광역시 중구 운남동 1707-2,37.47564583,126.5228568,989,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00065,영종하늘도시 11호,소공원,,인천광역시 중구 운남동 1741-2,37.48247928,126.5421773,670,,,,,,2006-12-05,인천광역시 중구청,032-760-7777,2023-05-16
28110-00066,영종하늘도시 12호,소공원,,인천광역시 중구 운서동 3044-1,37.49509062,126.4982615,1410,,,,,,2009-12-02,인천광역시 중구청,032-760-7777,2023-05-16
28110-00067,영종하늘도시 13호,소공원,,인천광역시 중구 운서동 3045-1,37.4949557,126.4994313,1288,,,,,,2009-12-02,인천광역시 중구청,032-760-7777,2023-05-16
28110-00068,영종하늘도시 14호,소공원,,인천광역시 중구 운서동 3118-6,37.48849543,126.4964822,1129,,,,,,2009-12-02,인천광역시 중구청,032-760-7777,2023-05-16
28110-00069,영종하늘도시 19호,소공원,,인천광역시 중구 운남동 1668-3,37.48294166,126.5216142,1429,,,,,,2009-12-02,인천광역시 중구청,032-760-7777,2023-05-16
28110-00070,영종하늘도시 20호,소공원,,인천광역시 중구 운서동 3051-26,37.49740248,126.5026449,1508,,,,,,2010-06-18,인천광역시 중구청,032-760-7777,2023-05-16
28110-00071,영종하늘도시 21호,소공원,,인천광역시 중구 운서동 3061-5,37.49589364,126.5017221,1256,,,,,,2010-06-18,인천광역시 중구청,032-760-7777,2023-05-16
28110-00072,영종하늘도시 22호,소공원,,인천광역시 중구 운서동 3068-2,37.49386683,126.5007575,1239,,,,,,2010-06-18,인천광역시 중구청,032-760-7777,2023-05-16
28110-00073,영종하늘도시 23호,소공원,,인천광역시 중구 운서동 3115-4,37.48914132,126.4953889,706,,,,,,2010-06-18,인천광역시 중구청,032-760-7777,2023-05-16
28110-00074,미단시티 1호,근린공원,,인천광역시 중구 운북동1279,37.518350574,126.535903627,39204,"풋살장, 인라인장(X-게임장)",,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00075,미단시티 2호,근린공원,,인천광역시 중구 운북동 1280-3,37.521031271,126.53941638,66408,"풋살장, 배드민턴장","조합놀이대, 흔들놀이기구",,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00076,미단시티 3호,근린공원,,인천광역시 중구 운북동 1270-3,37.525729957,126.524635671,44905,,,주차장,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00077,미단시티 4호,근린공원,,인천광역시 중구 운북동 1273,37.508698494,126.516215829,15940,,,화장실,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00078,미단시티 5호,근린공원,,인천광역시 중구 운북동 1274-1,37.508215176,126.515902265,10678,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00079,미단시티 6호,근린공원,,인천광역시 중구 운북동 1275-1,37.508383236,126.512949239,10001,,바닥분수,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00080,미단시티 7호,근린공원,,인천광역시 중구 운북동 1285-5,37.5234579754,126.5172542926,18301,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00081,미단시티 8호,근린공원,,인천광역시 중구 운북동 1265-5,37.5287736311,126.5144326659,65176,"풋살장, 배드민턴장",,,,공원관리사무실,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00082,미단시티 1호 공원,어린이공원,,인천광역시 중구 운북동 1297-3,37.5265881233,126.5139241931,1519,,"조합놀이대, 그네, 회전놀이기구, 흔들놀이기구, 철봉",,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00083,미단시티 1호,소공원,,인천광역시 중구 운북동 1278-4,37.5210281979,126.5397227237,8120,,,,,,2008-06-03,인천광역시 중구청,032-760-7777,2023-05-16
28110-00084,미단시티 2호,소공원,,인천광역시 중구 운북동 1296,37.5271690347,126.5137940248,2585,,,,,,2008-06-03,인천광역시 중구청,032-760-7777,2023-05-16
28110-00085,미단시티 9호,근린공원,,인천광역시 중구 운북동 1351-13,37.5312498157,126.5063237823,40277,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00086,미단시티 10호,근린공원,,인천광역시 중구 운북동 1352-7,37.528917696,126.506627421,13795,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00087,미단시티 11호,근린공원,,인천광역시 중구 운북동 1353-11,37.526201864,126.499291984,46718,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00088,미단시티 12호,근린공원,,인천광역시 중구 운북동 1366-7,37.523078379,126.506417005,37580,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00089,미단시티 13호,근린공원,,인천광역시 중구 운북동 1353-2,37.53066398,126.501943451,12774,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00090,미단시티 2호 공원,어린이공원,,인천광역시 중구 운북동 1353-14,37.52690176,126.5025149,2022,,,,,,2006-10-31,인천광역시 중구청,032-760-7777,2023-05-16
28110-00091,영종하늘도시 6호,소공원,,인천광역시 중구 운남동 1696-6,37.474029741,126.519943916,1374,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00092,영종하늘도시 9호,소공원,,인천광역시 중구 운남동 1700-2,37.4783171292,126.5269757500,913,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00093,영종하늘도시 10호,소공원,,인천광역시 중구 운남동 1703-4,37.4771257400,126.5274514853,1014,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00094,영종하늘도시 15호,소공원,,인천광역시 중구 운남동 1731-1,37.4841397119,126.5421307303,489,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00095,영종하늘도시 16호,소공원,,인천광역시 중구 운남동 1734-5,37.4855228124,126.5431703702,405,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00096,영종하늘도시 17호,소공원,,인천광역시 중구 운남동 1733-36,37.4848069047,126.5447632176,1130,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00097,영종하늘도시 18호,소공원,,인천광역시 중구 운남동 1727-29,37.4845999020,126.5451333721,475,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00098,영종하늘도시 26호,소공원,,인천광역시 중구 중산동 1945,37.4936376850,126.5790311460,3062,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00099,나비의꿈공원,어린이공원,,인천광역시 중구 운서동 3012-9,37.5018425259,126.5031475028,2292,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00100,해저대탐험공원,어린이공원,,인천광역시 중구 운남동 1643-1,37.4763298998,126.5311004179,2028,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00101,스파이더맨공원,어린이공원,,인천광역시 중구 운서동 3076-3,37.4922112244,126.5067019355,2384,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00102,날아라부메랑공원,어린이공원,,인천광역시 중구 운남동 1764-6,37.4843662283,126.5490243047,1515,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00103,동물의숲공원,어린이공원,,인천광역시 중구 운남동 1696-3,37.475445771,126.519194371,3129,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00104,마법의성공원,어린이공원,,인천광역시 중구 중산동 1914-5,37.4970282617,126.5702893559,4347,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00105,영종하늘도시 1호,근린공원,,인천광역시 중구 운서동 3020-1,37.5003608460,126.5012368259,26063,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00106,영종하늘도시 6호,근린공원,,인천광역시 중구 운남동 1598-6,37.4818052263,126.5047628609,59927,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00107,영종하늘도시 8호,근린공원,,인천광역시 중구 운남동 1604-3,37.4755076196,126.5087950034,26615,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00108,영종하늘도시 10호,근린공원,,인천광역시 중구 운남동 1697-4,37.4794605211,126.5239245394,13459,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00109,영종하늘도시 11호,근린공원,,인천광역시 중구 운남동 1654-3,37.4838181464,126.5312883559,97629,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00110,영종하늘도시 14호,근린공원,,인천광역시 중구 운남동 1690-14,37.4804314438,126.5152631905,43441,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00111,영종하늘도시 15호,근린공원,,인천광역시 중구 중산동 1960-6,37.4856976384,126.5643358361,48505,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00112,영종하늘도시 21호,근린공원,,인천광역시 중구 중산동 1935-13,37.4988253620,126.5769701520,19482,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00113,영종하늘도시 22호,근린공원,,인천광역시 중구 중산동 1938-39,37.4964028803,126.5780860074,58404,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00114,영종하늘도시 27호,근린공원,,인천광역시 중구 운서동3076-1,37.4944948084,126.5079085046,10926,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00115,영종하늘도시 29호,근린공원,,인천광역시 중구 운남동 1766-3,37.4882583292,126.5468859048,20127,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00116,영종하늘도시 33호,근린공원,,인천광역시 중구 중산동 1959-2,37.4921937443,126.5755930402,8652,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00117,영종하늘도시 34호,근린공원,,인천광역시 중구 운남동 1745-10,37.4820822296,126.5404027835,43514,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00118,영종하늘도시 35호,근린공원,,인천광역시 중구 운남동 1681-9,37.4801605622,126.5091136785,55128,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00119,영종하늘도시 36호,근린공원,,인천광역시 중구 중산동 1926-19,37.4971374271,126.5759112179,10172,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00120,영종하늘도시 37호,근린공원,,인천광역시 중구 운남동 1722-84,37.482703184,126.516948803,28384,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
28110-00121,영종하늘도시 38호,근린공원,,인천광역시 중구 운남동1649-1,37.4862704366,126.5308996344,54685,,,,,,,인천광역시 중구청,032-760-7777,2023-05-16
