연번,분야,유형,필드코드,타입코드,분류코드,시도,시군구,시설명,분류,우편번호,주소,전화번호,경도,위도,정보
42,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,학익1동 행정복지센터,31,22225,인천광역시 미추홀구 매소홀로 380(학익동),032-728-6241,126.6641212,37.43984487,
43,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,학익2동 행정복지센터,32,22218,인천광역시 미추홀구 한나루로 444(학익동),032-728-6261,126.6674731,37.44658016,
44,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,도화1동 행정복지센터,33,22139,인천광역시 미추홀구 경인로 295(도화동),032-728-6281,126.6738308,37.46091116,
45,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,"도화2,3동 행정복지센터",34,22102,인천광역시 미추홀구 장고개로 29-1(도화동),032-728-6301,126.666143,37.47092187,
46,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안1동 행정복지센터,35,22136,인천광역시 미추홀구 주안서로53번길 22(주안동),032-728-6321,126.67658,37.46379213,
47,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안2동 행정복지센터,36,22156,인천광역시 미추홀구 남주길43번길 14-29(주안동),032-728-6341,126.672724,37.4546988,
48,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안3동 행정복지센터,37,22217,인천광역시 미추홀구 주승로31번길 28-10(주안동),032-728-6361,126.6740311,37.4448844,
49,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안4동 행정복지센터,38,22146,인천광역시 미추홀구 구월남로 5(주안동),032-728-6381,126.6903021,37.45512701,
50,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안5동 행정복지센터,39,22130,인천광역시 미추홀구 석정로 462(주안동),032-728-6401,126.6868856,37.46582176,
51,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안6동 행정복지센터,40,22143,인천광역시 미추홀구 경원대로864번길 59(주안동),032-728-6421,126.6923121,37.46128013,
52,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안7동 행정복지센터,41,22215,인천광역시 미추홀구 인하로 265(주안동),032-728-6441,126.6776569,37.44845533,
53,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,주안8동 행정복지센터,42,22228,인천광역시 미추홀구 인주대로470번길 24(주안동),032-728-6461,126.6894727,37.44954079,
54,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,관교동 행정복지센터,43,22241,인천광역시 미추홀구 인하로 452(관교동),032-728-6481,126.6968088,37.44417826,
55,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,문학동 행정복지센터,44,22235,인천광역시 미추홀구 소성로 339(문학동),032-728-6501,126.6850028,37.43768216,
56,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,옥련1동행정복지센터,45,21954,인천광역시 연수구 비류대로 186번길 14,032-749-6000,126.6550916,37.42737699,
57,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,옥련2동행정복지센터,46,21950,인천광역시 연수구 옥련로 82,032-749-6050,126.6482905,37.42619013,
58,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,선학동행정복지센터,47,21938,인천광역시 연수구 선학로 54,032-749-6100,126.7012975,37.42250526,
59,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,연수1동행정복지센터,48,21922,인천광역시 연수구 함박뫼로 127,032-749-6150,126.6810564,37.42225409,
60,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,연수2동행정복지센터,49,21931,인천광역시 연수구 원인재로 158,032-749-6200,126.6818369,37.41167083,
61,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,연수3동행정복지센터,50,21936,인천광역시 연수구 원인재로 283,032-749-6250,126.6919591,37.41932878,
62,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,청학동행정복지센터,51,21940,인천광역시 연수구 비류대로 294번길 26,032-749-6300,126.6660909,37.42501243,
63,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,동춘1동행정복지센터,52,21966,인천광역시 연수구 먼우금로 117,032-749-6350,126.6707738,37.40959833,
64,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,동춘2동행정복지센터,53,21971,인천광역시 연수구 먼우금로 41,032-749-6400,126.6693212,37.40274918,
65,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,동춘3동행정복지센터,54,21974,인천광역시 연수구 원인재로 110,032-749-6450,126.6783259,37.40845793,
66,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,송도1동행정복지센터,55,21996,인천광역시 연수구 하모니로 35번길 8,032-749-6500,126.6520801,37.3910522,
67,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,송도2동행정복지센터,56,22001,인천광역시 연수구 신송로 248,032-749-6550,126.641648,37.40327143,
68,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,송도3동행정복지센터,57,21984,인천광역시 연수구 송도교육로 63,032-749-6780,126.6601644,37.37148506,
69,행정기관,주민자치센터,1,3,1003,인천광역시,연수구,송도4동행정복지센터,58,22009,"인천광역시 연수구 컨벤시아대로 230번길 42, 아라프라자 214호",032-749-6850,126.6349141,37.38808525,
70,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,구월1동행정복지센터,59,21580,인천광역시 남동구 선수촌공원로 104 (구월동),032-453-5220,126.7126122,37.44680055,
71,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,구월2동행정복지센터,60,21561,인천광역시 남동구 구월로 208(구월동),032-453-5240,126.7133527,37.45610969,
72,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,구월3동행정복지센터,61,21559,인천광역시 남동구 문화서로 84(구월동),032-453-5260,126.6969396,37.45269025,
73,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,구월4동행정복지센터,62,21536,인천광역시 남동구 구월말로 7(구월동),032-453-5280,126.7240627,37.44963442,
74,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,간석1동행정복지센터,63,21551,인천광역시 남동구 구월로137번길 39(간석동),032-453-5300,126.7052865,37.45861555,
75,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,간석2동행정복지센터,64,21545,인천광역시 남동구 남동대로916번길 47,032-453-5320,126.7109451,37.46398388,
76,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,간석3동행정복지센터,65,21511,인천광역시 남동구 용천로 186(간석동),032-453-5340,126.7146813,37.46610891,
77,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,간석4동행정복지센터,66,21503,인천광역시 남동구 석정로 575 (간석동),032-453-5360,126.6991759,37.46735236,
78,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수1동행정복지센터,67,21540,인천광역시 남동구 인주대로 851(만수동),032-453-5380,126.7319683,37.44872162,
79,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수2동행정복지센터,68,21524,인천광역시 남동구 만수서로 46(만수동),032-453-5400,126.7311596,37.46138937,
80,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수3동행정복지센터,69,21518,인천광역시 남동구 서판로 11(만수동),032-453-5420,126.7230066,37.46196582,
81,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수4동행정복지센터,70,21526,인천광역시 남동구 만수로50번길 39(만수동),032-453-5440,126.73562,37.45947472,
82,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수5동행정복지센터,71,21543,인천광역시 남동구 만경로28번길 3(만수동),032-453-5460,126.7277707,37.45783848,
83,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,만수6동행정복지센터,72,21594,인천광역시 남동구 장승남로 47(만수동),032-453-5480,126.7376522,37.44376943,
84,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,장수서창동행정복지센터,73,21604,인천광역시 남동구 독곡로 28 (서창동),032-453-5500,126.747365,37.43587947,
85,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,서창2동행정복지센터,74,21617,인천광역시 남동구 서창남순환로 43 ,032-453-5170,126.7507055,37.42791693,
86,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,남촌도림동행정복지센터,75,21625,"인천광역시 남동구 남촌동로25번길 43, 3층(남촌동)",032-453-5520,126.7159505,37.4301038,
87,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,논현1동행정복지센터,76,21660,인천광역시 남동구 소래역로 115(논현동),032-453-5560,126.729321,37.40569166,
88,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,논현2동행정복지센터,77,21651,인천광역시 남동구 논현고잔로 248(논현동),032-453-5540,126.7163939,37.40422428,
89,행정기관,주민자치센터,1,3,1003,인천광역시,남동구,논현고잔동행정복지센터,78,21679,인천광역시 남동구 앵고개로 847번길 32(논현동),032-453-5580,126.7263891,37.39776984,
90,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평1동 행정복지센터,79,21387,인천광역시 부평구 부평문화로 37번길 1(부평동),032-509-8300,126.7200673,37.49421472,
91,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평2동 행정복지센터,80,21408,인천광역시 부평구 부영로16번길 5(부평동),032-509-8310,126.717925,37.48688956,
92,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평3동 행정복지센터,81,21405,"인천광역시 부평구 마장로 82, 2층 (십정동)",032-509-8320,126.7082726,37.48605461,
93,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평4동 행정복지센터,82,21359,"인천광역시 부평구 장제로 145, 신명스카이홈2층",032-509-8330,126.7296486,37.49884633,
94,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평5동 행정복지센터,83,21396,인천광역시 부평구 부평문화로106번길 17(부평동),032-509-8340,126.728315,37.49363235,
95,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부평6동 행정복지센터,84,21431,인천광역시 부평구 동수로 70(부평동),032-509-8350,126.7265946,37.48515187,
96,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,산곡1동 행정복지센터,85,21369,인천광역시 부평구 마장로319번길 52(산곡동),032-509-8360,126.7002254,37.50694765,
97,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,산곡2동 행정복지센터,86,21362,인천광역시 부평구 안남로 255(산곡동),032-509-8370,126.7086009,37.50585828,
98,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,산곡3동 행정복지센터,87,21384,인천광역시 부평구 경원대로 1269-2(산곡동),032-509-8380,126.7094355,37.49075733,
99,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,산곡4동 행정복지센터,88,21377,인천광역시 부평구 부흥로173번길 68(산곡동),032-509-8390,126.7114706,37.50174363,
100,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,청천1동 행정복지센터,89,21306,인천광역시 부평구 산청로127번길3 (청천동),032-509-8400,126.7022176,37.52028403,
101,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,청천2동 행정복지센터,90,21312,인천광역시 부평구 마장로410번길 5(청천동),032-509-8410,126.7045397,37.51487362,
102,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,갈산1동 행정복지센터,91,21330,인천광역시 부평구 주부토로 254(갈산동),032-509-8420,126.7274281,37.51760682,
103,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,갈산2동 행정복지센터,92,21335,인천광역시 부평구 주부토로 173(갈산동),032-509-8430,126.7257139,37.51074539,
104,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,삼산1동 행정복지센터,93,21318,인천광역시 부평구 후정동로 9(삼산동),032-509-8440,126.737155,37.51821428,
105,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,삼산2동 행정복지센터,94,21327,인천광역시 부평구 굴포로 137(삼산동),032-509-8450,126.7363647,37.51178926,
106,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부개1동 행정복지센터,95,21421,인천광역시 부평구 동수로162번길 11(부개동),032-509-8460,126.7368865,37.48470719,
107,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부개2동 행정복지센터,96,21398,인천광역시 부평구 동수천로 104(부개동),032-509-8470,126.7371223,37.49481732,
108,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,부개3동 행정복지센터,97,21351,인천광역시 부평구 길주남로 117(부개동),032-509-8480,126.7347056,37.50431539,
109,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,일신동 행정복지센터,98,21418,인천광역시 부평구 경인로1148번길 6(일신동),032-509-8490,126.7469542,37.48453636,
110,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,십정1동 행정복지센터,99,21451,인천광역시 부평구 열우물로 103 (십정동),032-509-8600,126.6961219,37.47580429,
111,행정기관,주민자치센터,1,3,1003,인천광역시,부평구,십정2동 행정복지센터,100,21436,인천광역시 부평구 동암산로33번길 6-7(십정동),032-509-8610,126.7078611,37.47387357,
112,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,효성1동행정복지센터,101,21095,인천광역시 계양구 봉오대로 569번길 22(효성동),032-450-4700,126.7121334,37.53246011,
113,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,효성2동행정복지센터,102,21106,인천광역시 계양구 아나지로 162(효성동),032-450-4720,126.7098143,37.52504578,
114,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계산1동행정복지센터,103,21054,인천광역시 계양구 향교로24(계산동),032-450-4740,126.7213436,37.53959788,
115,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계산2동행정복지센터,104,21040,인천광역시 계양구 주부토로 559(계산동),032-450-4760,126.72814,37.54420661,
116,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계산3동행정복지센터,105,21083,인천광역시 계양구 계산새로 7 (계산동),032-450-4780,126.7289785,37.53773489,
117,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계산4동행정복지센터,106,21071,인천광역시 계양구 용종로 12-8(계산동),032-450-4960,126.741704,37.53456688,
118,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,작전1동행정복지센터,107,21085,인천광역시 계양구 봉오대로 727(작전동),032-450-4800,126.7296971,37.53080034,
119,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,작전2동행정복지센터,108,21089,인천광역시 계양구 봉오대로 677번길 23(작전동),032-450-4820,126.7239094,37.53291557,
120,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,작전서운동행정복지센터,109,21125,인천광역시 계양구 효서로 361 (작전동),032-450-4840,126.7364234,37.52810395,
121,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계양1동행정복지센터,110,21007,인천광역시 계양구 장기서로 8(장기동),032-450-4860,126.7339008,37.57670919,
122,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계양2동행정복지센터,111,21034,인천광역시 계양구 장제로 853(임학동),032-450-4882,126.7370311,37.54378002,
123,행정기관,주민자치센터,1,3,1003,인천광역시,계양구,계양3동행정복지센터,112,21018,인천광역시 계양구 양지로31(동양동607-2),032-430-7910,126.7548992,37.56157839,
124,행정기관,주민자치센터,1,3,1003,인천광역시,서구,검암경서동 행정복지센터,113,22696,인천광역시 서구 승학로 480(검암동),032-560-4601,126.6736012,37.5644173,
125,행정기관,주민자치센터,1,3,1003,인천광역시,서구,연희동 행정복지센터,114,22713,인천광역시 서구 간촌로 12(연희동),032-560-4602,126.6784429,37.54890642,
126,행정기관,주민자치센터,1,3,1003,인천광역시,서구,청라1동 행정복지센터,115,22738,인천광역시 서구 청라라임로 58(연희동),032-560-4618,126.653734,37.53266111,
127,행정기관,주민자치센터,1,3,1003,인천광역시,서구,청라2동 행정복지센터,116,22761,인천광역시 서구 청라커넬로 269,032-560-4619,126.6441478,37.53264159,
128,행정기관,주민자치센터,1,3,1003,인천광역시,서구,청라3동 행정복지센터,117,22765,인천광역시 서구 푸른로8번길5(경서동),032-560-0840,126.6295277,37.52466941,
129,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가정1동 행정복지센터,118,22731,"인천광역시 서구 염곡로 464번길 11, 2층 (가정동)",032-560-4603,126.6705158,37.52641674,
130,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가정2동 행정복지센터,119,22715,인천광역시 서구 봉오대로267번길 10(가정동),032-560-4604,126.6801335,37.52503725,
131,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가정3동 행정복지센터,120,22799,인천광역시 서구 서달로179번길 12-16(가정동),032-560-4605,126.6778371,37.51554487,
132,행정기관,주민자치센터,1,3,1003,인천광역시,서구,신현원창동 행정복지센터,121,22782,인천광역시 서구 가정로335번길 3(신현동),032-560-4606,126.6722844,37.51460808,
133,행정기관,주민자치센터,1,3,1003,인천광역시,서구,석남1동 행정복지센터,122,22784,인천광역시 서구 가정로294번길 17(석남동),032-560-4607,126.6747613,37.5111868,
134,행정기관,주민자치센터,1,3,1003,인천광역시,서구,석남2동 행정복지센터,123,22796,인천광역시 서구 거북로 116(석남동),032-560-4608,126.6746087,37.50262976,
135,행정기관,주민자치센터,1,3,1003,인천광역시,서구,석남3동 행정복지센터,124,22802,인천광역시 서구 서달로 107(석남동),032-560-4609,126.6782995,37.50820325,
136,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가좌1동 행정복지센터,125,22834,인천광역시 서구 가정로112번길 10(가좌동),032-560-4610,126.6725866,37.49434354,
137,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가좌2동 행정복지센터,126,22815,인천광역시 서구 장고개로309번길 4(가좌동),032-560-4611,126.6852389,37.49068189,
138,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가좌3동 행정복지센터,127,22817,인천광역시 서구 원적로57번길 4(가좌동),032-560-4612,126.6800368,37.49250149,
139,행정기관,주민자치센터,1,3,1003,인천광역시,서구,가좌4동 행정복지센터,128,22821,인천광역시 서구 장고개로280번길 14(가좌동),032-560-4613,126.6833857,37.48739388,
140,행정기관,주민자치센터,1,3,1003,인천광역시,서구,검단동 행정복지센터,129,22611,인천광역시 서구 검단로529번길 14(마전동),032-560-4614,126.6617997,37.60508534,
141,행정기관,주민자치센터,1,3,1003,인천광역시,서구,불로대곡동 행정복지센터,130,22627,인천광역시 서구 검단로 814(불로동),032-560-4615,126.6889484,37.61708927,
142,행정기관,주민자치센터,1,3,1003,인천광역시,서구,원당동 행정복지센터,131,22625,인천광역시 서구 고산로 24(원당동),032-560-4616,126.7017071,37.59507905,
143,행정기관,주민자치센터,1,3,1003,인천광역시,서구,당하동 행정복지센터,132,22677,인천광역시 서구 청마로167번길 19(당하동),032-560-4617,126.674629,37.5920975,
144,행정기관,주민자치센터,1,3,1003,인천광역시,서구,오류왕길동 행정복지센터,133,22657,인천광역시 서구 봉화로 42(오류동),032-560-3370,126.6376324,37.59701795,
145,행정기관,주민자치센터,1,3,1003,인천광역시,서구,마전동 행정복지센터,134,22642,인천광역시 서구 완정로10번길 14 (마전동),032-560-4600,126.6737106,37.59537083,
146,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,강화읍행정복지센터,135,23032,인천광역시 강화군 강화읍 강화대로 440번길10,032-930-4400,126.4835173,37.74814871,
147,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,선원면면사무소,136,23043,인천광역시 강화군 선원면 대문고개로 22,032-930-4210,126.4846672,37.71351057,
148,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,불은면면사무소,137,23046,인천광역시 강화군 불은면 강화동로 562-3,032-930-4420,126.4803329,37.68667527,
149,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,길상면면사무소,138,23050,인천광역시 강화군 길상면 강화동로 15,032-930-4430,126.491126,37.64020772,
150,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,화도면면사무소,139,23060,인천광역시 강화군 화도면 마니산로 703-14,032-930-4440,126.4198441,37.63170486,
151,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,양도면면사무소,140,23057,인천광역시 강화군 양도면 강화남로 708-2,032-930-4450,126.4219913,37.66320134,
152,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,내가면면사무소,141,23018,인천광역시 강화군 내가면  강화서로 249,032-930-4460,126.389714,37.71974437,
153,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,하점면면사무소,142,23015,인천광역시 강화군 하점면 강화대로 1220,032-930-4470,126.4115679,37.77426311,
154,행정기관,주민자치센터,1,3,1003,인천광역시,강화군,양사면면사무소,143,23011,인천광역시 강화군 양사면 전망대로 1391,032-930-4480,126.4087073,37.79824904,
